Class,0,1,2,3,4,5,6
0,12344686,3392012,1824297,98248,427839,99512,0
1,2828736,23220794,1185323,124430,639751,284509,0
2,349466,199373,1640374,22720,18098,1897,0
3,38,114,1,4461,229,404,0
4,1949,2652,578,288,261627,369,0
5,1612,4252,747,2457,1912,620451,0
6,255,217,1408,1596,638,432,0
