Class,0,1,2,3,4,5,6
0,14308340,3846328,0,0,0,31926,0
1,2557622,25682878,0,0,0,43043,0
2,1377173,854041,0,0,0,714,0
3,2941,1927,0,0,0,379,0
4,233860,33100,0,0,0,503,0
5,9778,41969,0,0,0,579684,0
6,3989,154,0,0,0,403,0
